23:13:34.757 [main] INFO   sync.Main - Init..
01:13:44.899 [main] DEBUG  s.s.utils.SQLBuilder - getSelectSQL(Row{id=0, values=[PARENT_ID, NAME]}, personal)
01:13:44.899 [main] DEBUG  s.s.utils.SQLBuilder - getSelectSQL -> select ID, PARENT_ID, NAME from personal
01:13:44.899 [main] DEBUG  s.s.u.TableBuilder - getTable(com.mysql.cj.jdbc.result.ResultSetImpl@1ddf84b8)
01:13:44.899 [main] DEBUG  s.s.u.TableBuilder - getTable -> Table{rows=[Row{id=0, values=[PARENT_ID, NAME]}, Row{id=2, values=[0, kut]}, Row{id=23, values=[0, rr]}, Row{id=24, values=[null, worked]}]}
01:13:44.899 [main] DEBUG  s.dao.SlaveDaoImpl - getAll -> Table{rows=[Row{id=0, values=[PARENT_ID, NAME]}, Row{id=2, values=[0, kut]}, Row{id=23, values=[0, rr]}, Row{id=24, values=[null, worked]}]}
01:13:44.899 [main] DEBUG  s.s.SyncRowFinder - findSyncRows(Table{rows=[Row{id=0, values=[PARENT_ID, NAME]}, Row{id=1, values=[null, ser]}, Row{id=24, values=[null, worked]}]}, Table{rows=[Row{id=0, values=[PARENT_ID, NAME]}, Row{id=2, values=[0, kut]}, Row{id=23, values=[0, rr]}, Row{id=24, values=[null, worked]}]})
01:13:44.899 [main] DEBUG  s.dao.AdapterDaoImpl - contains(24, 24)
01:13:44.899 [main] DEBUG  s.dao.AdapterDaoImpl - get(24)
01:13:44.909 [main] DEBUG  s.dao.AdapterDaoImpl - get -> [24]
01:13:44.909 [main] DEBUG  s.dao.AdapterDaoImpl - contains -> true
01:13:44.909 [main] DEBUG  s.s.SyncRowFinder - findSyncRows done
01:13:44.909 [main] DEBUG  s.s.DumpBuilder - isExists -> true
01:13:44.909 [main] DEBUG  s.s.DumpBuilder - readDump()
01:13:44.909 [main] DEBUG  s.s.DumpBuilder - readDump -> Table{rows=[Row{id=0, values=[PARENT_ID, NAME]}]}
01:13:44.919 [main] DEBUG  sync.Main - init done
01:13:44.919 [main] INFO   sync.ui.Console - Command list: [start], [pause], [stop]
